time,ax,ay,az,atotal
17.468,-0.55,-1.44,0.66,1.68
17.478,-0.75,-1.46,0.75,1.8
17.488,-0.95,-1.37,0.8,1.86
17.498,-1.15,-1.3,0.86,1.94
17.508,-1.35,-1.25,0.91,2.05
17.517,-1.53,-1.16,0.94,2.14
17.527,-1.72,-1.13,0.99,2.29
17.537,-1.91,-1.13,1.04,2.45
17.547,-2.07,-1.09,1.09,2.58
17.557,-2.22,-1.06,1.16,2.72
17.567,-2.37,-1.04,1.21,2.85
17.577,-2.49,-0.97,1.25,2.95
17.587,-2.59,-0.81,1.27,3.0
17.597,-2.73,-0.68,1.27,3.09
17.607,-2.86,-0.59,1.29,3.2
17.617,-3.0,-0.49,1.28,3.3
17.627,-3.11,-0.39,1.27,3.39
17.637,-3.23,-0.3,1.29,3.49
17.647,-3.3,-0.19,1.28,3.55
17.657,-3.39,-0.2,1.27,3.62
17.667,-3.46,-0.18,1.26,3.68
17.677,-3.48,-0.12,1.22,3.69
17.687,-3.49,-0.1,1.2,3.69
17.697,-3.47,0.01,1.16,3.66
17.707,-3.43,-0.01,1.1,3.6
17.717,-3.4,-0.13,1.05,3.56
17.727,-3.32,-0.15,0.96,3.46
17.736,-3.23,-0.18,0.87,3.35
17.746,-3.13,-0.2,0.78,3.23
17.756,-3.03,-0.29,0.69,3.12
17.766,-2.93,-0.43,0.6,3.02
17.776,-2.84,-0.55,0.52,2.94
17.786,-2.72,-0.72,0.45,2.85
17.796,-2.59,-0.89,0.39,2.77
17.806,-2.44,-1.05,0.3,2.67
17.816,-2.29,-1.13,0.21,2.56
17.826,-2.13,-1.24,0.11,2.47
17.836,-1.97,-1.33,-0.0,2.38
17.846,-1.8,-1.38,-0.13,2.27
17.856,-1.63,-1.35,-0.24,2.12
17.866,-1.45,-1.2,-0.33,1.91
17.876,-1.25,-1.21,-0.39,1.78
17.886,-1.05,-1.26,-0.45,1.7
17.896,-0.85,-1.25,-0.48,1.58
17.906,-0.64,-1.24,-0.53,1.49
17.916,-0.41,-1.25,-0.56,1.43
17.926,-0.16,-1.22,-0.61,1.37
17.936,0.1,-1.16,-0.68,1.35
17.946,0.35,-1.11,-0.74,1.38
17.955,0.6,-1.01,-0.8,1.42
17.966,0.85,-0.92,-0.86,1.52
17.975,1.07,-0.86,-0.91,1.64
17.986,1.29,-0.77,-0.93,1.77
17.995,1.51,-0.69,-0.96,1.92
18.005,1.72,-0.59,-0.97,2.06
18.015,1.92,-0.51,-0.98,2.22
18.025,2.13,-0.54,-0.97,2.4
18.035,2.32,-0.53,-0.97,2.57
18.045,2.52,-0.44,-0.94,2.72
18.055,2.7,-0.33,-0.94,2.88
18.065,2.87,-0.3,-0.92,3.03
18.075,3.03,-0.36,-0.92,3.19
18.085,3.16,-0.42,-0.92,3.31
18.095,3.23,-0.35,-0.92,3.38
18.105,3.31,-0.18,-0.93,3.45
18.115,3.4,-0.07,-0.95,3.53
18.125,3.45,0.02,-0.94,3.57
18.135,3.49,0.06,-0.9,3.6
18.145,3.51,0.06,-0.88,3.62
18.155,3.53,0.1,-0.85,3.63
18.165,3.51,0.15,-0.82,3.61
18.175,3.46,0.22,-0.77,3.55
18.185,3.44,0.17,-0.71,3.52
18.195,3.4,0.04,-0.68,3.47
18.205,3.33,0.04,-0.65,3.4
18.215,3.28,0.02,-0.6,3.33
18.224,3.19,-0.04,-0.56,3.24
18.234,3.11,-0.04,-0.52,3.15
18.244,3.01,-0.07,-0.49,3.05
18.254,2.92,-0.11,-0.4,2.95
18.265,2.82,-0.17,-0.32,2.84
18.274,2.72,-0.27,-0.25,2.75
18.284,2.61,-0.33,-0.16,2.64
18.294,2.48,-0.29,-0.1,2.49
18.304,2.32,-0.3,-0.03,2.34
18.314,2.14,-0.35,0.02,2.17
18.324,1.97,-0.46,0.07,2.02
18.334,1.78,-0.59,0.12,1.88
18.344,1.56,-0.69,0.15,1.71
18.354,1.34,-0.76,0.16,1.55
18.364,1.13,-0.8,0.2,1.4
18.374,0.88,-0.83,0.24,1.23
18.384,0.64,-0.86,0.3,1.11
18.394,0.43,-0.91,0.37,1.07
18.404,0.21,-1.04,0.44,1.15
18.414,-0.0,-1.09,0.5,1.2
18.424,-0.23,-1.1,0.53,1.24
18.434,-0.43,-1.07,0.56,1.28
18.444,-0.61,-1.01,0.61,1.33
18.453,-0.83,-0.98,0.66,1.44
18.464,-1.02,-0.98,0.72,1.59
18.473,-1.2,-0.99,0.77,1.74
18.484,-1.38,-0.99,0.83,1.89
18.493,-1.54,-0.93,0.88,2.01
18.503,-1.72,-0.89,0.93,2.15
18.513,-1.89,-0.89,0.97,2.3
18.523,-2.06,-0.88,0.99,2.45
18.533,-2.23,-0.92,1.01,2.61
18.543,-2.35,-0.96,0.99,2.72
18.553,-2.47,-0.84,0.99,2.79
18.563,-2.58,-0.63,0.95,2.82
18.573,-2.7,-0.52,0.96,2.91
18.583,-2.79,-0.51,1.0,3.0
18.593,-2.86,-0.47,1.04,3.08
18.603,-2.93,-0.4,1.07,3.14
18.613,-2.99,-0.3,1.1,3.2
18.623,-3.03,-0.3,1.1,3.24
18.633,-3.08,-0.25,1.09,3.28
18.643,-3.11,-0.2,1.05,3.29
18.653,-3.16,-0.25,1.0,3.32
18.663,-3.17,-0.34,0.93,3.32
18.672,-3.16,-0.35,0.85,3.29
18.683,-3.12,-0.36,0.78,3.23
18.692,-3.06,-0.37,0.69,3.15
18.703,-3.0,-0.37,0.6,3.08
18.712,-2.95,-0.36,0.5,3.02
18.722,-2.89,-0.36,0.43,2.94
18.732,-2.8,-0.4,0.35,2.85
18.742,-2.72,-0.49,0.3,2.78
18.752,-2.61,-0.6,0.25,2.69
18.762,-2.46,-0.67,0.19,2.56
18.772,-2.32,-0.69,0.13,2.42
18.782,-2.15,-0.71,0.07,2.26
18.792,-1.97,-0.74,0.01,2.1
18.802,-1.79,-0.74,-0.06,1.94
18.812,-1.6,-0.78,-0.12,1.78
18.822,-1.42,-0.92,-0.18,1.7
18.832,-1.22,-0.96,-0.26,1.57
18.842,-1.02,-0.92,-0.35,1.42
18.852,-0.81,-0.91,-0.42,1.29
18.862,-0.61,-0.87,-0.48,1.17
18.872,-0.43,-0.86,-0.54,1.1
18.882,-0.24,-0.91,-0.6,1.12
18.892,-0.06,-0.93,-0.66,1.14
18.902,0.14,-0.88,-0.71,1.14
18.912,0.33,-0.83,-0.74,1.16
18.921,0.53,-0.8,-0.77,1.23
18.931,0.74,-0.78,-0.78,1.33
18.941,0.95,-0.74,-0.8,1.45
18.951,1.17,-0.75,-0.83,1.62
18.962,1.37,-0.75,-0.84,1.77
18.971,1.57,-0.62,-0.84,1.89
18.981,1.76,-0.51,-0.82,2.01
18.991,1.93,-0.53,-0.8,2.15
19.001,2.08,-0.54,-0.79,2.29
19.011,2.22,-0.54,-0.77,2.41
19.021,2.38,-0.46,-0.77,2.54
19.031,2.49,-0.32,-0.77,2.63
19.041,2.63,-0.24,-0.76,2.75
19.051,2.74,-0.21,-0.73,2.85
19.061,2.85,-0.11,-0.71,2.94
19.071,2.96,-0.02,-0.69,3.05
19.081,3.04,-0.02,-0.66,3.11
19.091,3.11,-0.0,-0.64,3.18
19.101,3.15,0.04,-0.63,3.21
19.111,3.17,0.06,-0.63,3.23
19.121,3.18,0.09,-0.61,3.24
19.131,3.16,0.11,-0.6,3.22
19.141,3.15,0.11,-0.57,3.2
19.15,3.13,0.13,-0.52,3.17
19.161,3.11,0.17,-0.45,3.15
19.17,3.1,0.16,-0.37,3.12
19.18,3.06,0.2,-0.3,3.08
19.19,3.02,0.2,-0.22,3.03
19.201,2.96,0.12,-0.15,2.97
19.21,2.9,0.04,-0.11,2.9
19.221,2.81,0.03,-0.09,2.81
19.23,2.72,0.01,-0.07,2.72
19.24,2.6,-0.05,-0.05,2.6
19.25,2.45,-0.2,-0.07,2.45
19.26,2.3,-0.34,-0.04,2.32
19.27,2.13,-0.42,-0.01,2.18
19.28,1.96,-0.42,0.03,2.0
19.29,1.77,-0.47,0.05,1.83
19.3,1.58,-0.56,0.1,1.68
19.31,1.39,-0.7,0.17,1.56
19.32,1.2,-0.83,0.21,1.47
19.33,1.0,-0.83,0.25,1.33
19.34,0.81,-0.84,0.27,1.2
19.35,0.62,-0.89,0.3,1.13
19.36,0.44,-0.94,0.34,1.09
19.37,0.24,-0.91,0.36,1.0
19.38,0.03,-0.89,0.39,0.97
19.389,-0.15,-0.86,0.43,0.97
19.4,-0.36,-0.86,0.49,1.06
19.409,-0.54,-0.91,0.53,1.18
19.42,-0.73,-0.91,0.59,1.3
19.429,-0.88,-0.85,0.6,1.36
19.439,-1.05,-0.83,0.61,1.47
19.449,-1.21,-0.75,0.63,1.56
19.459,-1.39,-0.7,0.63,1.68
19.469,-1.57,-0.7,0.66,1.84
19.479,-1.73,-0.69,0.69,1.98
19.489,-1.9,-0.7,0.73,2.15
19.499,-2.06,-0.7,0.74,2.3
19.509,-2.19,-0.66,0.78,2.42
19.519,-2.35,-0.66,0.78,2.56
19.529,-2.48,-0.61,0.77,2.67
19.539,-2.61,-0.55,0.77,2.77
19.549,-2.72,-0.57,0.77,2.89
19.559,-2.83,-0.55,0.75,2.98
19.569,-2.91,-0.48,0.74,3.04
19.579,-2.98,-0.44,0.73,3.1
19.589,-3.03,-0.39,0.72,3.13
19.599,-3.04,-0.29,0.72,3.14
19.609,-3.05,-0.22,0.7,3.14
19.619,-3.05,-0.25,0.69,3.14
19.629,-3.03,-0.28,0.68,3.12
19.639,-3.01,-0.3,0.64,3.09
19.649,-2.98,-0.22,0.6,3.05
19.659,-2.94,-0.24,0.54,3.0
19.669,-2.87,-0.31,0.47,2.93
19.678,-2.8,-0.34,0.43,2.85
19.688,-2.7,-0.35,0.37,2.75
19.698,-2.57,-0.4,0.31,2.62
19.708,-2.44,-0.43,0.25,2.49
19.718,-2.3,-0.44,0.18,2.35
19.728,-2.17,-0.43,0.14,2.22
19.738,-2.02,-0.37,0.07,2.05
19.748,-1.89,-0.43,0.02,1.93
19.758,-1.75,-0.56,-0.03,1.84
19.768,-1.61,-0.62,-0.09,1.73
19.778,-1.45,-0.64,-0.14,1.59
19.788,-1.29,-0.67,-0.18,1.46
19.798,-1.14,-0.66,-0.23,1.34
19.808,-0.94,-0.7,-0.27,1.2
19.818,-0.76,-0.75,-0.32,1.12
19.828,-0.58,-0.75,-0.35,1.01
19.838,-0.42,-0.76,-0.38,0.95
19.848,-0.24,-0.79,-0.43,0.93
19.858,-0.07,-0.79,-0.48,0.92
19.868,0.12,-0.76,-0.53,0.93
19.878,0.32,-0.72,-0.55,0.96
19.887,0.52,-0.68,-0.57,1.03
19.898,0.73,-0.67,-0.57,1.14
19.907,0.91,-0.64,-0.58,1.25
19.918,1.09,-0.57,-0.57,1.36
19.927,1.27,-0.57,-0.56,1.5
19.937,1.42,-0.57,-0.58,1.64
19.947,1.57,-0.54,-0.59,1.76
19.957,1.7,-0.5,-0.6,1.87
19.967,1.85,-0.45,-0.64,2.0
19.977,1.99,-0.4,-0.65,2.13
19.987,2.13,-0.34,-0.63,2.25
19.997,2.26,-0.28,-0.61,2.36
20.007,2.4,-0.24,-0.55,2.47
20.017,2.5,-0.24,-0.5,2.56
20.027,2.6,-0.29,-0.44,2.66
20.037,2.71,-0.26,-0.41,2.75
20.047,2.78,-0.16,-0.38,2.81
20.057,2.84,-0.09,-0.36,2.87
20.067,2.91,-0.04,-0.35,2.93
20.077,2.95,0.04,-0.37,2.97
20.087,2.99,0.12,-0.35,3.02
20.097,3.01,0.16,-0.34,3.04
20.106,3.04,0.18,-0.31,3.06
20.117,3.04,0.16,-0.28,3.05
20.126,3.04,0.17,-0.22,3.05
20.137,3.02,0.22,-0.16,3.03
20.146,2.96,0.19,-0.1,2.96
20.156,2.91,0.11,-0.04,2.91
20.166,2.81,0.04,-0.02,2.81
20.176,2.72,0.01,-0.0,2.72
20.186,2.64,0.05,-0.01,2.64
20.196,2.52,0.11,-0.02,2.53
20.206,2.39,0.09,-0.01,2.39
20.216,2.27,0.03,-0.0,2.27
20.226,2.14,-0.08,0.01,2.14
20.236,1.99,-0.23,0.05,2.01
20.246,1.84,-0.35,0.08,1.87
20.256,1.67,-0.44,0.1,1.74
20.266,1.49,-0.53,0.11,1.59
20.276,1.32,-0.59,0.11,1.45
20.286,1.11,-0.69,0.12,1.31
20.296,0.89,-0.73,0.11,1.16
20.306,0.7,-0.71,0.11,1.01
20.316,0.49,-0.66,0.08,0.82
20.326,0.29,-0.6,0.12,0.68
20.336,0.12,-0.5,0.16,0.54
20.346,-0.08,-0.48,0.21,0.53
20.356,-0.26,-0.57,0.25,0.68
20.366,-0.45,-0.62,0.31,0.83
20.376,-0.63,-0.54,0.36,0.9
20.385,-0.79,-0.42,0.36,0.96
20.395,-0.99,-0.42,0.38,1.14
20.405,-1.16,-0.53,0.37,1.33
20.415,-1.32,-0.62,0.39,1.51
20.425,-1.49,-0.65,0.39,1.67
20.435,-1.62,-0.58,0.38,1.76
20.445,-1.75,-0.52,0.37,1.87
20.455,-1.9,-0.61,0.38,2.03
20.465,-2.02,-0.63,0.36,2.15
20.475,-2.15,-0.69,0.35,2.29
20.485,-2.26,-0.78,0.37,2.42
20.495,-2.36,-0.82,0.38,2.52
20.505,-2.44,-0.83,0.39,2.61
20.515,-2.5,-0.79,0.42,2.65
20.525,-2.55,-0.72,0.43,2.69
20.535,-2.59,-0.69,0.41,2.71
20.545,-2.62,-0.58,0.41,2.72
20.555,-2.63,-0.45,0.43,2.7
20.565,-2.66,-0.37,0.45,2.72
20.575,-2.66,-0.32,0.46,2.71
20.585,-2.65,-0.29,0.51,2.72
20.595,-2.65,-0.27,0.56,2.72
20.604,-2.62,-0.31,0.6,2.7
20.615,-2.56,-0.32,0.62,2.65
20.624,-2.49,-0.26,0.64,2.58
20.635,-2.4,-0.16,0.63,2.49
20.644,-2.32,-0.08,0.6,2.4
20.654,-2.22,-0.1,0.58,2.3
20.664,-2.12,-0.06,0.53,2.19
20.674,-2.0,-0.08,0.53,2.07
20.684,-1.89,-0.18,0.52,1.97
20.694,-1.79,-0.26,0.48,1.87
20.704,-1.68,-0.31,0.42,1.76
20.714,-1.57,-0.36,0.37,1.65
20.724,-1.47,-0.3,0.3,1.53
20.734,-1.35,-0.32,0.24,1.41
20.744,-1.23,-0.45,0.22,1.32
20.754,-1.09,-0.62,0.21,1.27
20.764,-0.92,-0.71,0.18,1.17
20.774,-0.73,-0.75,0.12,1.06
20.784,-0.51,-0.74,0.06,0.9
20.794,-0.31,-0.73,-0.0,0.79
20.804,-0.09,-0.76,-0.05,0.77
20.814,0.12,-0.7,-0.12,0.72
20.823,0.32,-0.63,-0.17,0.73
20.834,0.5,-0.6,-0.24,0.81
20.843,0.67,-0.6,-0.31,0.95
20.853,0.85,-0.57,-0.39,1.1
20.863,1.02,-0.49,-0.47,1.23
20.873,1.23,-0.42,-0.5,1.4
20.883,1.44,-0.38,-0.52,1.58
20.893,1.65,-0.34,-0.51,1.76
20.903,1.82,-0.25,-0.53,1.92
20.913,2.0,-0.27,-0.52,2.08
20.923,2.14,-0.32,-0.53,2.22
20.933,2.24,-0.23,-0.57,2.33
20.943,2.36,-0.14,-0.61,2.44
20.953,2.44,-0.07,-0.67,2.53
20.963,2.51,0.01,-0.7,2.61
20.973,2.59,0.01,-0.71,2.68
20.983,2.64,-0.07,-0.71,2.73
20.993,2.68,-0.12,-0.71,2.77
21.003,2.7,-0.13,-0.69,2.79
21.013,2.7,-0.14,-0.7,2.8
21.023,2.68,-0.13,-0.68,2.76
21.033,2.63,-0.07,-0.66,2.71
21.043,2.62,-0.03,-0.65,2.7
21.053,2.61,0.01,-0.58,2.67
21.063,2.58,0.01,-0.5,2.63
21.073,2.54,-0.02,-0.43,2.58
21.083,2.5,0.0,-0.36,2.52
21.093,2.46,0.05,-0.31,2.48
21.102,2.42,0.06,-0.25,2.43
21.112,2.35,0.03,-0.19,2.36
21.122,2.27,-0.08,-0.15,2.28
21.132,2.16,-0.14,-0.11,2.16
21.142,2.06,-0.12,-0.07,2.07
21.152,1.93,-0.11,-0.07,1.94
21.162,1.78,-0.15,-0.05,1.79
21.172,1.61,-0.22,-0.0,1.62
21.182,1.46,-0.31,0.05,1.5
21.192,1.31,-0.39,0.07,1.37
21.202,1.15,-0.44,0.11,1.24
21.212,0.99,-0.46,0.12,1.1
21.222,0.82,-0.53,0.15,0.99
21.232,0.64,-0.57,0.18,0.88
21.242,0.47,-0.58,0.2,0.78
21.252,0.29,-0.58,0.21,0.68
21.262,0.12,-0.6,0.22,0.65
21.272,-0.06,-0.58,0.22,0.62
21.282,-0.22,-0.55,0.24,0.64
21.292,-0.4,-0.58,0.25,0.75
21.302,-0.56,-0.55,0.31,0.84
21.312,-0.69,-0.51,0.35,0.93
21.322,-0.8,-0.54,0.43,1.06
21.332,-0.91,-0.54,0.47,1.16
21.341,-1.03,-0.45,0.54,1.25
21.352,-1.17,-0.39,0.58,1.36
21.361,-1.29,-0.36,0.63,1.48
21.371,-1.43,-0.27,0.65,1.59
21.381,-1.57,-0.24,0.64,1.71
21.391,-1.71,-0.3,0.65,1.85
21.401,-1.82,-0.31,0.64,1.96
21.411,-1.92,-0.27,0.63,2.04
21.421,-2.01,-0.32,0.67,2.14
21.431,-2.07,-0.34,0.68,2.2
21.441,-2.11,-0.36,0.72,2.25
21.451,-2.13,-0.35,0.75,2.29
21.461,-2.16,-0.27,0.75,2.3
21.471,-2.19,-0.26,0.75,2.33
21.481,-2.21,-0.3,0.74,2.35
21.491,-2.22,-0.24,0.7,2.34
21.501,-2.21,-0.25,0.68,2.32
21.511,-2.17,-0.21,0.68,2.29
21.521,-2.15,-0.14,0.69,2.26
21.531,-2.14,-0.15,0.68,2.25
21.54,-2.1,-0.2,0.65,2.21
21.551,-2.08,-0.34,0.64,2.2
21.56,-2.03,-0.33,0.6,2.14
21.571,-1.97,-0.31,0.56,2.07
21.581,-1.93,-0.4,0.5,2.03
21.59,-1.87,-0.39,0.42,1.96
21.6,-1.78,-0.3,0.37,1.84
21.61,-1.7,-0.26,0.31,1.75
21.62,-1.62,-0.21,0.25,1.65
21.63,-1.54,-0.24,0.2,1.57
21.64,-1.46,-0.27,0.16,1.49
21.65,-1.38,-0.31,0.12,1.42
21.66,-1.27,-0.31,0.06,1.31
21.67,-1.19,-0.31,0.02,1.23
21.68,-1.05,-0.38,-0.02,1.12
21.69,-0.94,-0.48,-0.07,1.06
21.7,-0.79,-0.42,-0.1,0.9
21.71,-0.66,-0.33,-0.14,0.75
21.72,-0.52,-0.37,-0.17,0.66
21.73,-0.39,-0.43,-0.21,0.62
21.74,-0.28,-0.45,-0.28,0.59
21.75,-0.17,-0.39,-0.31,0.53
21.76,-0.03,-0.32,-0.37,0.49
21.77,0.08,-0.36,-0.38,0.53
21.78,0.23,-0.43,-0.4,0.63
21.79,0.35,-0.46,-0.42,0.72
21.8,0.49,-0.43,-0.44,0.78
21.81,0.62,-0.37,-0.46,0.85
21.82,0.73,-0.3,-0.48,0.92
21.829,0.82,-0.14,-0.5,0.97
21.839,0.88,-0.13,-0.53,1.03
21.849,0.92,-0.15,-0.55,1.09
21.859,0.98,-0.11,-0.56,1.13
21.869,1.03,-0.09,-0.56,1.18
21.879,1.13,-0.09,-0.57,1.26
21.89,1.21,-0.07,-0.56,1.33
21.899,1.28,-0.03,-0.53,1.39
21.909,1.34,0.17,-0.52,1.45
21.919,1.4,0.3,-0.46,1.51
21.929,1.45,0.18,-0.4,1.51
21.939,1.48,0.03,-0.37,1.53
21.949,1.49,0.05,-0.37,1.54
21.959,1.49,0.09,-0.4,1.55
21.969,1.47,0.01,-0.47,1.54
21.979,1.44,-0.03,-0.54,1.54
21.989,1.42,0.07,-0.59,1.54
21.999,1.42,0.11,-0.64,1.56
22.009,1.39,0.11,-0.63,1.53
22.019,1.36,0.04,-0.61,1.49
22.029,1.29,0.07,-0.56,1.4
22.039,1.21,0.13,-0.51,1.32
22.049,1.13,0.13,-0.5,1.24
22.058,1.04,0.16,-0.46,1.15
22.069,0.98,0.24,-0.44,1.1
22.078,0.94,0.3,-0.42,1.07
22.088,0.9,0.3,-0.41,1.03
22.098,0.85,0.34,-0.39,0.99
22.108,0.78,0.35,-0.4,0.94
22.118,0.73,0.31,-0.39,0.88
22.128,0.66,0.3,-0.39,0.82
22.138,0.61,0.25,-0.4,0.77
22.148,0.55,0.25,-0.41,0.73
22.158,0.5,0.21,-0.41,0.68
22.168,0.46,0.24,-0.43,0.67
22.178,0.44,0.37,-0.41,0.7
22.188,0.41,0.35,-0.36,0.65
22.198,0.36,0.23,-0.33,0.55
22.208,0.33,0.15,-0.28,0.46
22.218,0.33,0.04,-0.22,0.4
22.228,0.29,-0.1,-0.16,0.35
22.238,0.26,-0.16,-0.11,0.33
22.248,0.24,-0.2,-0.07,0.32
22.257,0.21,-0.29,-0.03,0.35
22.268,0.18,-0.28,0.02,0.34
22.277,0.17,-0.29,0.05,0.34
22.288,0.13,-0.38,0.1,0.41
22.298,0.09,-0.4,0.12,0.42
22.307,0.05,-0.37,0.17,0.41
22.317,-0.01,-0.35,0.19,0.4
22.327,-0.06,-0.29,0.23,0.37
22.337,-0.08,-0.2,0.29,0.36
22.347,-0.12,-0.18,0.35,0.41
22.357,-0.12,-0.14,0.42,0.46
22.367,-0.13,-0.21,0.49,0.54
22.377,-0.12,-0.25,0.54,0.61
22.387,-0.14,-0.19,0.57,0.62
22.397,-0.12,-0.09,0.59,0.61
22.407,-0.13,-0.03,0.62,0.63
22.417,-0.14,-0.04,0.62,0.63
22.427,-0.14,-0.03,0.63,0.64
22.437,-0.1,0.03,0.65,0.65
22.447,-0.09,0.01,0.64,0.65
22.457,-0.06,-0.02,0.64,0.65
22.467,-0.03,-0.05,0.67,0.67
22.477,-0.02,-0.11,0.67,0.68
22.487,0.01,-0.15,0.68,0.69
22.497,0.01,-0.28,0.67,0.72
22.507,0.01,-0.38,0.66,0.76
22.517,0.01,-0.4,0.63,0.75
22.527,0.02,-0.35,0.59,0.69
22.536,0.0,-0.26,0.55,0.61
22.547,-0.02,-0.15,0.53,0.55
22.556,-0.05,-0.14,0.53,0.55
22.566,-0.08,-0.21,0.53,0.57
22.576,-0.11,-0.22,0.52,0.58
22.586,-0.12,-0.13,0.51,0.54
22.596,-0.13,-0.09,0.5,0.52
22.607,-0.11,-0.08,0.48,0.5
22.616,-0.12,-0.04,0.46,0.47
22.626,-0.11,-0.03,0.43,0.44
22.636,-0.07,-0.01,0.4,0.41
22.646,-0.03,0.01,0.35,0.35
22.656,0.01,0.03,0.3,0.31
22.666,0.01,0.04,0.27,0.28
22.676,0.04,0.02,0.21,0.22
22.686,0.02,-0.01,0.15,0.15
22.696,0.02,0.01,0.1,0.1
22.706,0.0,0.04,0.08,0.09
22.716,-0.04,0.03,0.06,0.07
22.726,-0.06,0.02,0.02,0.06
22.736,-0.09,-0.03,-0.0,0.1
22.746,-0.12,-0.1,-0.02,0.16
22.756,-0.13,-0.11,-0.07,0.19
22.766,-0.14,-0.08,-0.1,0.19
22.775,-0.12,-0.08,-0.16,0.22
22.785,-0.12,-0.1,-0.21,0.26
22.795,-0.09,-0.06,-0.25,0.28
22.805,-0.06,-0.06,-0.29,0.3
22.815,-0.02,-0.09,-0.31,0.32
22.825,0.01,-0.12,-0.32,0.34
22.835,0.05,-0.17,-0.34,0.38
22.845,0.08,-0.13,-0.33,0.37
22.855,0.1,-0.0,-0.36,0.37
22.865,0.1,0.1,-0.38,0.41
22.875,0.1,0.14,-0.38,0.42
22.885,0.08,0.17,-0.38,0.42
22.895,0.07,0.15,-0.37,0.41
22.905,0.05,0.13,-0.37,0.4
22.915,0.05,0.15,-0.37,0.4
22.925,0.04,0.19,-0.35,0.4
22.935,0.04,0.15,-0.33,0.36
22.945,0.03,0.07,-0.34,0.35
22.955,0.03,0.01,-0.35,0.35
22.965,0.01,-0.06,-0.37,0.38
22.975,0.01,-0.08,-0.41,0.42
22.985,0.03,-0.08,-0.44,0.44
22.994,0.06,-0.08,-0.45,0.46
23.005,0.05,-0.05,-0.48,0.48
23.014,0.04,-0.06,-0.49,0.49
23.024,0.04,-0.06,-0.48,0.48
23.034,0.02,-0.07,-0.48,0.49
23.044,-0.01,-0.05,-0.49,0.49
23.054,-0.04,-0.02,-0.48,0.49
23.064,-0.07,0.04,-0.45,0.46
23.074,-0.1,0.04,-0.41,0.43
23.084,-0.13,-0.0,-0.22,0.26
23.094,-0.1,-0.05,-0.1,0.15
23.104,-0.07,0.02,-0.21,0.23
23.114,-0.03,0.08,-0.29,0.3
23.124,0.01,0.14,-0.4,0.42
23.134,0.02,0.14,-0.45,0.47
23.144,0.04,0.06,-0.46,0.46
23.154,0.05,-0.01,-0.44,0.44
23.164,0.08,0.0,-0.37,0.38
23.174,0.11,-0.01,-0.24,0.26
