experiment_id,status,raw_file,event_id,event_index,event_start_idx,event_end_idx,peak_idx,trough_idx,time_start,time_end,peak_time,trough_time,duration_s,n_samples,tau_drop,tau_drop_over_dataset_std,tau_peak,tau_trough,tau_recovery,tau_gradient_peak,V_std,V_range,velocity_consistency_corr,velocity_noise_ratio,gap_fraction,missing_fraction,dt_median,dataset_n_samples,dataset_duration_s,dataset_tau_mean,dataset_tau_std,dataset_V_mean,dataset_V_std,event_quality_score
p5838,available_event,C:\Users\carla\Desktop\EECE 798K\Project\data\utah_forge\p5838_datatable.mat,p5838_event_017,17.0,1723713.0,1735087.0,1723941.0,1732475.0,12596.673,12608.046,12596.901,12605.435,11.372999999999593,11374.0,3.5881500262516823,2.930750492422139,13.53525957080923,9.947109544557547,2.342123215180658,4.95471282795279,95.0148279752611,309.3925966599244,0.9999237868687113,0.013472542598682021,0.0,0.0,0.0010000000002037268,1856909.0,1860.8680000000004,13.188022532871488,1.2243113160567085,3.499368191770766,16.18856733541061,0.8153056408181839
p5838,available_event,C:\Users\carla\Desktop\EECE 798K\Project\data\utah_forge\p5838_datatable.mat,p5838_event_008,8.0,817094.0,923844.0,817328.0,923081.0,11690.054,11796.803,11690.288,11796.041,106.7489999999998,106750.0,2.77040859656538,2.2628307900147426,11.002992483366176,8.232583886800796,2.235778738309616,13.421699210854968,4.470784548692294,145.9804754734878,0.9875515463688758,0.2852956835574413,0.0,0.0,0.0010000000002037268,1856909.0,1860.8680000000004,13.188022532871488,1.2243113160567085,3.499368191770766,16.18856733541061,0.7985671391731987
p5838,available_event,C:\Users\carla\Desktop\EECE 798K\Project\data\utah_forge\p5838_datatable.mat,p5838_event_006,6.0,789789.0,795290.0,791474.0,793382.0,11662.749,11668.249,11664.434,11666.342,5.5,5501.0,2.7995184101886075,2.28660727650121,13.878404270787836,11.078885860599229,0.30237780515161816,2.7298495643972274,127.32574511293333,302.1859533476165,0.9999326998874851,0.010109193872011186,0.0,0.0,0.0010000000002037268,1856909.0,1860.8680000000004,13.188022532871488,1.2243113160567085,3.499368191770766,16.18856733541061,0.7546814429898736
p5838,available_event,C:\Users\carla\Desktop\EECE 798K\Project\data\utah_forge\p5838_datatable.mat,p5838_event_010,10.0,928830.0,992907.0,950586.0,991716.0,11801.79,11865.866,11823.546,11864.676,64.07599999999911,64077.0,1.0046231098295983,0.820562031211243,14.051283374786601,13.046660264957003,0.3809556351572905,2.766830585682328,4.424879841987429,41.76553075069382,0.9928281295293091,0.25413558751913784,0.0,0.0,0.0010000000002037268,1856909.0,1860.8680000000004,13.188022532871488,1.2243113160567085,3.499368191770766,16.18856733541061,0.7002920316576378
p5838,available_event,C:\Users\carla\Desktop\EECE 798K\Project\data\utah_forge\p5838_datatable.mat,p5838_event_009,9.0,923081.0,933816.0,923844.0,928830.0,11796.041,11806.775,11796.804,11801.79,10.734000000000378,10735.0,1.491148111541822,1.2179488121183148,10.468436323209177,8.977288211667355,0.21011268001770844,5.761463463887594,6.561356316739694,66.6857474237421,0.9757426801757129,0.24750167820764934,0.0,0.0,0.0010000000002037268,1856909.0,1860.8680000000004,13.188022532871488,1.2243113160567085,3.499368191770766,16.18856733541061,0.700004341215814
p5838,available_event,C:\Users\carla\Desktop\EECE 798K\Project\data\utah_forge\p5838_datatable.mat,p5838_event_003,3.0,652280.0,768889.0,720153.0,721123.0,11525.24,11641.848,11593.113,11594.083,116.60800000000017,116609.0,0.8440928792431137,0.6894431959067299,14.224459136994168,13.380366257751055,0.711550943475757,3.2121754693125695,4.232766649774141,51.51939299098415,0.9939627781850421,0.41266100922575566,0.0,0.0,0.0010000000002037268,1856909.0,1860.8680000000004,13.188022532871488,1.2243113160567085,3.499368191770766,16.18856733541061,0.6891441500366537
p5838,available_event,C:\Users\carla\Desktop\EECE 798K\Project\data\utah_forge\p5838_datatable.mat,p5838_event_004,4.0,721123.0,785094.0,768889.0,783819.0,11594.083,11658.053,11641.849,11656.779,63.969999999999345,63971.0,0.5234864412071509,0.4275763650124916,14.092012908136574,13.568526466929423,0.2539740620334232,2.0637460800589906,9.232490641016145,93.53932873540532,0.9987571568380169,0.18272513627414672,0.0,0.0,0.0010000000002037268,1856909.0,1860.8680000000004,13.188022532871488,1.2243113160567085,3.499368191770766,16.18856733541061,0.6158256441154215
p5838,available_event,C:\Users\carla\Desktop\EECE 798K\Project\data\utah_forge\p5838_datatable.mat,p5838_event_016,16.0,1706749.0,1723941.0,1707736.0,1723713.0,12579.709,12596.9,12580.696,12596.673,17.190999999998894,17192.0,0.6143445897817781,0.5017880233120252,13.869042080515227,13.254697490733449,0.28045436406414304,2.246896937256679,7.199177199016414,103.43169809868186,0.9983253107721907,0.17026215481290344,0.0,0.0,0.0010000000002037268,1856909.0,1860.8680000000004,13.188022532871488,1.2243113160567085,3.499368191770766,16.18856733541061,0.6020367779694971
p5838,available_event,C:\Users\carla\Desktop\EECE 798K\Project\data\utah_forge\p5838_datatable.mat,p5838_event_014,14.0,1044305.0,1659034.0,1494188.0,1652326.0,11917.265,12531.993,12367.148,12525.286,614.728000000001,614729.0,0.4884308965205637,0.39894348898983906,14.105231020088258,13.616800123567694,0.2115638245957534,10.475846930109583,3.136664940753934,162.36861912528605,0.9754616081528412,0.4128733471495828,0.0,0.0,0.0010000000002037268,1856909.0,1860.8680000000004,13.188022532871488,1.2243113160567085,3.499368191770766,16.18856733541061,0.5981040447337556
p5838,available_event,C:\Users\carla\Desktop\EECE 798K\Project\data\utah_forge\p5838_datatable.mat,p5838_event_002,2.0,56243.0,720153.0,555963.0,652280.0,10929.203,11593.112,11428.923,11525.24,663.9089999999997,663910.0,0.39460620101673705,0.32230879686787994,13.995462175778178,13.60085597476144,0.6235415545605658,2.051382332993853,9.130173932645338,1105.905888724347,0.9543629631864814,0.5184109666874448,0.0,0.0,0.0010000000002037268,1856909.0,1860.8680000000004,13.188022532871488,1.2243113160567085,3.499368191770766,16.18856733541061,0.5605801666867833
p5838,available_event,C:\Users\carla\Desktop\EECE 798K\Project\data\utah_forge\p5838_datatable.mat,p5838_event_000,0.0,17359.0,25431.0,20761.0,22029.0,10890.319,10898.39,10893.721,10894.989,8.070999999999913,8072.0,0.7828717694134877,0.6394386541603974,13.815613771715912,13.032742002302424,0.1425678660740477,2.2658782140415497,2.14195707024571,17.046377470437804,0.9750209931283562,0.8870490832072999,0.0,0.0,0.0010000000002037268,1856909.0,1860.8680000000004,13.188022532871488,1.2243113160567085,3.499368191770766,16.18856733541061,0.48868938938155204
p5838,available_event,C:\Users\carla\Desktop\EECE 798K\Project\data\utah_forge\p5838_datatable.mat,p5838_event_007,7.0,793382.0,817328.0,795489.0,817094.0,11666.342,11690.287,11668.449,11690.054,23.94499999999971,23946.0,0.5889224847924055,0.4810236053888865,11.404055049337764,10.815132564545358,0.18785697262194745,1.315204499603169,2.6416335028723354,56.185493440318744,0.9587434242380801,0.6330455675000577,0.0,0.0,0.0010000000002037268,1856909.0,1860.8680000000004,13.188022532871488,1.2243113160567085,3.499368191770766,16.18856733541061,0.4665994081814272
p5838,available_event,C:\Users\carla\Desktop\EECE 798K\Project\data\utah_forge\p5838_datatable.mat,p5838_event_001,1.0,22029.0,85325.0,51111.0,56243.0,10894.989,10958.284,10924.071,10929.203,63.29500000000007,63296.0,0.4193434189368599,0.3425138086622972,13.435542857883899,13.016199438947039,0.4939810842460446,0.5772458175415522,4.557299907724783,31.03419559009282,0.9907260575747115,0.41956949838834606,0.0,0.0,0.0010000000002037268,1856909.0,1860.8680000000004,13.188022532871488,1.2243113160567085,3.499368191770766,16.18856733541061,0.4638528451817241
p5838,available_event,C:\Users\carla\Desktop\EECE 798K\Project\data\utah_forge\p5838_datatable.mat,p5838_event_015,15.0,1652326.0,1707736.0,1659034.0,1706749.0,12525.286,12580.695,12531.994,12579.709,55.40899999999965,55410.0,0.333528932210001,0.272421742446654,13.828383878545912,13.494854946335911,0.37414951578824507,1.704784938906414,3.0283630891777586,53.43261412816063,0.9944675356980683,0.39681961360611423,0.0,0.0,0.0010000000002037268,1856909.0,1860.8680000000004,13.188022532871488,1.2243113160567085,3.499368191770766,16.18856733541061,0.3966895782128261
p5838,available_event,C:\Users\carla\Desktop\EECE 798K\Project\data\utah_forge\p5838_datatable.mat,p5838_event_012,12.0,994781.0,1015873.0,1004842.0,1005812.0,11867.741,11888.832,11877.802,11878.772,21.09100000000035,21092.0,0.29476490612513295,0.24075983095875264,13.55247165045318,13.257706744328047,0.4138731616529281,1.0009927637756846,0.789386426929628,5.211745938374778,0.9637625978315633,1.0543824329900546,0.0,0.0,0.0010000000002037268,1856909.0,1860.8680000000004,13.188022532871488,1.2243113160567085,3.499368191770766,16.18856733541061,0.28330113380484073
p5838,available_event,C:\Users\carla\Desktop\EECE 798K\Project\data\utah_forge\p5838_datatable.mat,p5838_event_011,11.0,991716.0,996655.0,992907.0,994781.0,11864.676,11869.614,11865.867,11867.741,4.938000000000102,4939.0,0.24928210940027284,0.20361012207732979,13.427713618241894,13.178431508841621,0.1273527383290407,0.7988702133252445,1.022829134891486,4.727102235842927,0.9744036725895202,0.8037532350719981,0.0,0.0,0.0010000000002037268,1856909.0,1860.8680000000004,13.188022532871488,1.2243113160567085,3.499368191770766,16.18856733541061,0.21238383053305682
p5838,available_experiment,C:\Users\carla\Desktop\EECE 798K\Project\data\utah_forge\p5838_datatable.mat,,,,,,,,,,,,,,,,,,,,,,,,,,1856909.0,1860.8680000000004,13.188022532871488,1.2243113160567085,3.499368191770766,16.18856733541061,
p5848,missing_local_file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p5897,missing_local_file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p5905,missing_local_file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p5912,missing_local_file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
